sku,category,price
sku0116,Showers,"$3,769.38"
sku0117,Showers,"$4,615.12"
sku0118,Misc,"$3,557.62"
sku0119,Showers,$621.35
sku0120,Misc,$99.40
sku0121,Faucets,$131.05
sku0122,Toilets,$141.53
sku0123,Faucets,"$1,231.06"
sku0124,Misc,"$4,300.14"
sku0125,Toilets,"$2,694.16"
sku0126,Toilets,"$2,764.11"
sku0127,Faucets,"$4,210.15"
sku0128,Showers,$620.87
sku0129,Misc,"$1,395.92"
sku0130,Toilets,"$2,928.80"
sku0131,Faucets,"$4,847.98"
sku0132,Showers,"$2,805.15"
sku0133,Toilets,$93.24
sku0134,Misc,"$4,003.16"
sku0135,Faucets,"$1,164.87"
sku0136,Misc,"$4,035.53"
sku0137,Faucets,"$1,939.30"
sku0138,Toilets,"$4,317.71"
sku0139,Toilets,"$3,735.61"
sku0140,Showers,"$2,781.20"
sku0141,Showers,$682.28
sku0142,Misc,$299.59
sku0143,Misc,$606.72
sku0144,Faucets,$222.76
sku0145,Faucets,$537.47
sku0146,Misc,"$1,128.55"
sku0147,Faucets,"$3,564.94"
sku0148,Toilets,"$2,798.58"
sku0149,Faucets,$62.78
sku0150,Faucets,$359.87
sku0151,Showers,"$4,836.38"
sku0152,Showers,"$2,840.50"
sku0153,Toilets,"$1,016.47"
sku0154,Toilets,"$1,261.63"
sku0155,Misc,"$3,719.13"
sku0156,Showers,$977.15
sku0157,Toilets,"$2,906.79"
sku0158,Showers,"$4,850.10"
sku0159,Toilets,"$4,234.14"
sku0160,Faucets,"$1,199.24"
sku0161,Toilets,"$2,468.85"
sku0162,Faucets,"$3,099.78"
sku0163,Misc,"$4,144.90"
sku0164,Faucets,$783.96
sku0165,Showers,$92.88
sku0166,Faucets,$350.11
sku0167,Faucets,"$2,431.73"
sku0168,Misc,"$3,031.65"
sku0169,Misc,"$2,844.26"
sku0170,Faucets,"$1,586.81"
sku0171,Faucets,"$4,943.08"
sku0172,Misc,"$2,898.73"
sku0173,Faucets,"$1,900.71"
sku0174,Toilets,"$2,754.74"
sku0175,Showers,"$3,726.67"
sku0176,Toilets,"$3,346.16"
sku0177,Faucets,"$1,324.60"
sku0178,Misc,$331.67
sku0179,Toilets,"$1,850.42"
sku0180,Toilets,"$3,148.59"
sku0181,Showers,"$1,050.87"
sku0182,Toilets,"$3,763.78"
sku0183,Misc,$332.68
sku0184,Showers,"$1,301.58"
sku0185,Showers,"$4,023.77"
sku0186,Faucets,$967.17
sku0187,Misc,"$3,197.30"
sku0188,Faucets,"$2,623.35"
sku0189,Showers,"$4,624.04"
sku0190,Misc,"$1,316.48"
sku0191,Showers,$329.81
sku0192,Faucets,"$3,675.33"
sku0193,Faucets,"$3,860.89"
sku0194,Showers,"$4,539.08"
sku0195,Toilets,"$4,659.86"
sku0196,Showers,$69.76
sku0197,Misc,"$1,171.81"
sku0198,Faucets,"$3,083.89"
sku0199,Faucets,"$4,745.08"
sku0200,Showers,"$4,750.88"
sku0201,Faucets,"$2,783.27"
sku0202,Faucets,"$4,578.03"
sku0203,Showers,"$3,207.83"
sku0204,Showers,"$1,950.04"
sku0205,Showers,"$2,429.95"
sku0206,Showers,"$3,021.55"
sku0207,Faucets,"$2,747.74"
sku0208,Showers,"$4,630.91"
sku0209,Faucets,"$4,593.67"
sku0210,Showers,"$1,974.38"
sku0211,Showers,"$4,816.31"
sku0212,Faucets,$869.78
sku0213,Misc,$631.65
sku0214,Showers,$675.40
sku0215,Showers,"$2,528.31"
sku0216,Misc,$107.62
sku0217,Misc,"$4,739.85"
sku0218,Toilets,"$4,135.58"
sku0219,Toilets,$75.09
sku0220,Showers,$880.98
sku0221,Misc,"$1,660.32"
sku0222,Toilets,$654.98
sku0223,Toilets,"$4,047.45"
sku0224,Faucets,"$1,723.68"
sku0225,Faucets,"$4,700.54"
sku0226,Faucets,"$2,910.07"
sku0227,Faucets,"$4,394.16"
sku0228,Faucets,"$4,223.67"
sku0229,Toilets,"$4,526.96"
sku0230,Faucets,"$2,299.40"
sku0231,Misc,"$2,731.73"
sku0232,Faucets,"$3,993.02"
sku0233,Toilets,"$1,428.59"
sku0234,Misc,"$2,451.27"
sku0235,Misc,"$2,995.55"
sku0236,Faucets,$77.67
sku0237,Toilets,"$2,967.41"
sku0238,Showers,"$2,168.38"
sku0239,Faucets,"$4,036.80"
sku0240,Showers,"$1,576.22"
sku0241,Showers,"$4,464.44"
sku0242,Toilets,"$2,889.29"
sku0243,Toilets,$920.05
sku0244,Showers,"$3,939.65"
sku0245,Showers,"$3,060.16"
sku0246,Faucets,$269.55
sku0247,Faucets,"$2,100.97"
sku0248,Showers,"$3,395.34"
sku0249,Faucets,"$4,593.01"
sku0250,Faucets,$2.01
sku0251,Misc,"$4,883.80"
sku0252,Misc,"$1,882.90"
sku0253,Toilets,"$4,868.92"
sku0254,Misc,"$3,023.58"
sku0255,Misc,"$4,144.23"
sku0256,Faucets,"$2,873.56"
sku0257,Faucets,"$3,140.38"
sku0258,Showers,"$1,427.88"
sku0259,Toilets,"$2,934.17"
sku0260,Showers,"$3,750.11"
sku0261,Toilets,"$4,291.57"
sku0262,Misc,"$3,775.41"
sku0263,Showers,"$3,490.29"
sku0264,Toilets,"$4,322.40"
sku0265,Toilets,"$1,613.40"
sku0266,Showers,"$3,353.94"
sku0267,Faucets,"$2,254.37"
sku0268,Showers,"$1,910.51"
sku0269,Toilets,"$2,054.06"
sku0270,Faucets,"$2,007.40"
sku0271,Toilets,"$1,586.92"
sku0272,Toilets,"$3,109.60"
sku0273,Faucets,"$2,151.24"
sku0274,Toilets,"$4,869.01"
sku0275,Misc,"$3,389.00"
sku0276,Toilets,$992.85
sku0277,Toilets,"$2,133.51"
sku0278,Showers,"$1,716.73"
sku0279,Showers,"$3,988.19"
sku0280,Toilets,"$4,399.99"
sku0281,Misc,"$4,519.21"
sku0282,Faucets,"$3,313.60"
sku0283,Showers,"$1,351.04"
sku0284,Toilets,"$1,261.83"
sku0285,Toilets,"$4,274.49"
sku0286,Misc,"$2,638.57"
sku0287,Faucets,"$4,010.81"
sku0288,Faucets,"$2,862.44"
sku0289,Misc,"$3,665.71"
sku0290,Showers,"$2,595.06"
sku0291,Showers,"$3,854.42"
sku0292,Toilets,"$2,844.29"
sku0293,Showers,"$2,328.55"
sku0294,Toilets,"$1,713.44"
sku0295,Faucets,$341.05
sku0296,Faucets,"$1,889.62"
sku0297,Toilets,$398.13
sku0298,Toilets,"$4,914.09"
sku0299,Misc,$908.06
sku0300,Misc,"$4,059.29"
sku0301,Misc,"$4,374.81"
sku0302,Showers,"$3,442.07"
sku0303,Misc,"$2,847.47"
sku0304,Faucets,$804.86
sku0305,Toilets,"$2,334.40"
sku0306,Faucets,"$1,725.86"
sku0307,Toilets,"$1,125.20"
sku0308,Misc,"$2,962.56"
sku0309,Misc,"$1,561.35"
sku0310,Showers,"$4,581.53"
sku0311,Faucets,"$4,548.18"
sku0312,Toilets,"$1,285.59"
sku0313,Showers,$554.46
sku0314,Faucets,$964.81
sku0315,Showers,"$2,497.92"
sku0316,Toilets,"$3,642.93"
sku0317,Toilets,"$1,040.97"
sku0318,Faucets,"$1,240.17"
sku0319,Faucets,"$4,258.36"
sku0320,Faucets,"$2,079.24"
sku0321,Toilets,"$3,083.43"
sku0322,Toilets,"$1,168.33"
sku0323,Faucets,$509.84
sku0324,Misc,"$2,579.29"
sku0325,Faucets,"$2,385.70"
sku0326,Faucets,$763.36
sku0327,Misc,"$3,109.03"
sku0328,Misc,"$2,720.05"
sku0329,Misc,"$3,270.69"
sku0330,Faucets,$722.73
sku0331,Misc,"$3,757.64"
sku0332,Faucets,"$1,110.25"
sku0333,Toilets,"$2,596.76"
sku0334,Misc,"$3,926.48"
sku0335,Misc,$111.65
sku0336,Showers,"$1,621.81"
sku0337,Showers,"$4,364.61"
sku0338,Faucets,"$4,223.55"
sku0339,Misc,"$2,692.20"
sku0340,Faucets,"$4,333.04"
sku0341,Misc,"$4,749.03"
sku0342,Showers,"$4,132.03"
sku0343,Misc,"$4,270.58"
sku0344,Misc,$493.72
sku0345,Showers,"$3,256.52"
sku0346,Faucets,"$3,517.58"
sku0347,Showers,"$3,051.20"
sku0348,Toilets,"$3,998.08"
sku0349,Faucets,$172.86
sku0350,Misc,"$3,851.19"
sku0351,Toilets,"$3,658.64"
sku0352,Showers,"$1,298.49"
sku0353,Toilets,"$1,285.35"
sku0354,Toilets,"$3,161.52"
sku0355,Faucets,"$1,726.49"
sku0356,Faucets,"$3,982.94"
sku0357,Misc,"$2,230.73"
sku0358,Faucets,"$3,913.75"
sku0359,Toilets,"$4,952.36"
sku0360,Toilets,"$1,501.24"
sku0361,Faucets,$715.03
sku0362,Toilets,"$4,506.54"
sku0363,Toilets,"$2,707.80"
sku0364,Misc,"$4,873.70"
sku0365,Faucets,"$3,183.02"
sku0366,Showers,"$4,969.57"
sku0367,Showers,"$2,730.35"
sku0368,Showers,"$2,632.13"
sku0369,Misc,$677.14
sku0370,Showers,"$1,778.53"
sku0371,Faucets,$131.09
sku0372,Showers,$801.98
sku0373,Toilets,"$3,728.19"
sku0374,Toilets,$152.00
sku0375,Toilets,"$1,832.72"
sku0376,Misc,"$4,311.73"
sku0377,Toilets,"$3,463.39"
sku0378,Toilets,"$3,454.71"
sku0379,Toilets,$943.18
sku0380,Toilets,"$2,209.52"
sku0381,Showers,"$2,907.89"
sku0382,Showers,"$4,948.76"
sku0383,Misc,"$1,019.53"
sku0384,Toilets,"$1,238.66"
sku0385,Showers,"$1,310.87"
sku0386,Misc,"$3,750.86"
sku0387,Misc,"$2,284.88"
sku0388,Misc,$284.65
sku0389,Toilets,"$2,542.58"
sku0390,Faucets,"$1,059.80"
sku0391,Toilets,"$3,993.02"
sku0392,Misc,"$1,486.66"
sku0393,Toilets,$138.03
sku0394,Toilets,"$2,967.16"
sku0395,Toilets,"$4,219.20"
sku0396,Showers,"$1,905.08"
sku0397,Faucets,"$3,749.29"
sku0398,Faucets,"$2,555.71"
sku0399,Toilets,"$2,704.76"
sku0400,Showers,"$4,797.17"
sku0401,Showers,"$4,019.80"
sku0402,Toilets,$161.62
sku0403,Faucets,"$3,546.94"
sku0404,Misc,"$2,325.01"
sku0405,Misc,"$4,737.74"
sku0406,Showers,"$1,107.16"
sku0407,Showers,"$1,335.36"
sku0408,Showers,$407.37
sku0409,Showers,"$2,143.09"
sku0410,Showers,$545.09
sku0411,Toilets,"$3,168.93"
sku0412,Showers,"$4,014.82"
sku0413,Misc,"$3,484.00"
sku0414,Faucets,"$3,831.06"
sku0415,Misc,"$1,712.27"
sku0416,Toilets,"$4,229.26"
sku0417,Faucets,"$2,143.84"
sku0418,Toilets,"$4,120.05"
sku0419,Toilets,"$3,132.48"
sku0420,Toilets,$717.12
sku0421,Toilets,$391.93
sku0422,Faucets,$91.66
sku0423,Toilets,$333.62
sku0424,Toilets,"$2,292.92"
sku0425,Misc,$566.71
sku0426,Faucets,$138.92
sku0427,Misc,"$3,774.31"
sku0428,Misc,"$1,974.25"
sku0429,Showers,"$3,734.69"
sku0430,Showers,"$2,262.02"
sku0431,Faucets,"$2,250.43"
sku0432,Misc,"$2,390.36"
sku0433,Showers,"$2,370.02"
sku0434,Misc,"$4,015.82"
sku0435,Faucets,"$2,011.96"
sku0436,Faucets,"$4,523.43"
sku0437,Showers,$185.31
sku0438,Misc,"$3,869.37"
sku0439,Showers,$628.21
sku0440,Misc,"$3,092.57"
sku0441,Toilets,$51.82
sku0442,Misc,"$2,693.14"
sku0443,Showers,$15.09
sku0444,Misc,"$4,755.97"
sku0445,Misc,"$4,527.01"
sku0446,Misc,"$3,979.83"
sku0447,Toilets,"$4,576.37"
sku0448,Faucets,$727.79
sku0449,Faucets,$788.65
sku0450,Showers,$938.16
sku0451,Faucets,"$3,112.48"
sku0452,Faucets,"$4,529.05"
sku0453,Misc,"$4,949.78"
sku0454,Faucets,"$3,555.61"
sku0455,Toilets,"$3,659.00"
sku0456,Toilets,"$4,546.47"
sku0457,Misc,"$2,004.37"
sku0458,Toilets,"$1,249.25"
sku0459,Misc,$867.15
sku0460,Faucets,$597.29
sku0461,Misc,"$4,063.05"
sku0462,Showers,$733.96
sku0463,Faucets,"$1,321.49"
sku0464,Toilets,"$4,095.45"
sku0465,Toilets,"$1,552.94"
sku0466,Toilets,"$4,912.09"
sku0467,Faucets,"$1,333.19"
sku0468,Toilets,"$2,668.27"
sku0469,Misc,"$1,572.34"
sku0470,Misc,"$4,553.86"
sku0471,Misc,"$1,832.78"
sku0472,Faucets,"$2,167.96"
sku0473,Toilets,"$2,561.46"
sku0474,Faucets,"$4,694.43"
sku0475,Faucets,$154.75
sku0476,Faucets,"$3,584.39"
sku0477,Misc,"$4,455.09"
sku0478,Toilets,$136.44
sku0479,Toilets,"$2,610.26"
sku0480,Misc,"$1,629.95"
sku0481,Showers,"$4,297.45"
sku0482,Misc,"$2,792.58"
sku0483,Showers,"$3,451.14"
sku0484,Misc,"$2,264.27"
sku0485,Toilets,"$3,141.55"
sku0486,Showers,"$1,450.48"
sku0487,Faucets,$46.74
sku0488,Toilets,"$2,883.78"
sku0489,Faucets,"$1,557.22"
sku0490,Misc,"$2,586.34"
sku0491,Showers,"$4,582.03"
sku0492,Misc,"$2,132.37"
sku0493,Misc,"$1,236.98"
sku0494,Faucets,"$1,856.47"
sku0495,Showers,"$4,659.31"
sku0496,Showers,"$4,684.34"
sku0497,Misc,"$4,221.65"
sku0498,Faucets,"$4,601.03"
sku0499,Showers,"$1,139.50"
sku0500,Showers,$437.41
sku0501,Toilets,"$1,136.55"
sku0502,Showers,"$1,571.88"
sku0503,Toilets,$873.83
sku0504,Misc,"$3,035.47"
sku0505,Showers,"$2,067.93"
sku0506,Toilets,"$4,081.76"
sku0507,Misc,$925.65
sku0508,Faucets,"$3,509.38"
sku0509,Showers,"$1,201.78"
sku0510,Toilets,"$2,871.10"
sku0511,Misc,"$1,744.94"
sku0512,Misc,$284.82
sku0513,Showers,"$1,144.07"
sku0514,Misc,"$3,320.51"
sku0515,Showers,"$2,486.25"
sku0516,Misc,"$2,595.08"
sku0517,Faucets,$873.60
sku0518,Toilets,"$2,853.58"
sku0519,Misc,"$4,983.77"
sku0520,Showers,"$4,084.18"
sku0521,Toilets,"$2,971.86"
sku0522,Showers,"$4,879.95"
sku0523,Toilets,"$4,507.81"
sku0524,Showers,"$2,978.04"
sku0525,Showers,$162.13
sku0526,Toilets,$467.89
sku0527,Showers,$326.86
sku0528,Faucets,"$2,258.67"
sku0529,Showers,"$1,877.17"
sku0530,Faucets,"$4,876.75"
sku0531,Misc,$839.92
sku0532,Misc,"$4,863.94"
sku0533,Showers,"$3,837.37"
sku0534,Toilets,"$4,121.19"
sku0535,Toilets,"$3,163.08"
sku0536,Misc,"$3,343.66"
sku0537,Faucets,"$2,384.41"
sku0538,Faucets,$65.68
sku0539,Faucets,"$1,765.03"
sku0540,Misc,"$2,460.36"
sku0541,Toilets,"$3,650.46"
sku0542,Toilets,"$2,343.14"
sku0543,Toilets,"$2,287.02"
sku0544,Toilets,$688.31
sku0545,Showers,$54.44
sku0546,Faucets,"$3,791.39"
sku0547,Faucets,"$1,599.76"
sku0548,Showers,"$4,921.92"
sku0549,Toilets,"$1,101.17"
sku0550,Misc,"$1,693.54"
sku0551,Faucets,"$2,619.48"
sku0552,Showers,"$3,774.46"
sku0553,Showers,"$2,319.29"
sku0554,Faucets,$624.11
sku0555,Faucets,"$1,562.51"
sku0556,Toilets,"$2,522.60"
sku0557,Misc,"$3,369.25"
sku0558,Toilets,"$3,850.75"
sku0559,Faucets,$651.68
sku0560,Toilets,$114.58
sku0561,Faucets,"$2,595.41"
sku0562,Showers,"$4,049.94"
sku0563,Toilets,$63.02
sku0564,Faucets,"$3,362.35"
sku0565,Showers,"$3,434.04"
sku0566,Showers,"$2,246.23"
sku0567,Faucets,"$4,573.94"
sku0568,Faucets,"$3,221.81"
sku0569,Misc,$26.20
sku0570,Toilets,"$2,422.14"
sku0571,Misc,"$4,296.59"
sku0572,Toilets,"$4,152.00"
sku0573,Faucets,"$3,245.77"
sku0574,Misc,"$3,368.49"
sku0575,Faucets,"$2,892.50"
sku0576,Toilets,"$1,370.60"
sku0577,Misc,"$2,802.65"
sku0578,Faucets,"$3,358.65"
sku0579,Faucets,"$1,762.15"
sku0580,Misc,"$4,279.14"
sku0581,Toilets,$975.19
sku0582,Showers,"$3,736.60"
sku0583,Faucets,"$1,448.01"
sku0584,Showers,"$3,869.00"
sku0585,Toilets,"$2,138.69"
sku0586,Faucets,"$4,038.49"
sku0587,Faucets,"$1,767.67"
sku0588,Toilets,"$1,068.47"
sku0589,Showers,"$3,836.42"
sku0590,Faucets,"$1,543.21"
sku0591,Misc,"$3,666.23"
sku0592,Showers,"$3,722.37"
sku0593,Toilets,"$1,106.98"
sku0594,Toilets,"$1,070.56"
sku0595,Misc,$994.74
sku0596,Toilets,$712.59
sku0597,Toilets,"$1,885.41"
sku0598,Faucets,$133.14
sku0599,Toilets,$554.60
sku0600,Faucets,"$3,372.82"
sku0601,Faucets,"$3,998.88"
sku0602,Faucets,$402.65
sku0603,Showers,"$1,158.51"
sku0604,Toilets,"$1,038.13"
sku0605,Showers,"$4,586.67"
sku0606,Misc,"$3,556.57"
sku0607,Toilets,"$2,769.42"
sku0608,Faucets,"$1,522.59"
sku0609,Toilets,"$4,174.27"
sku0610,Faucets,"$2,176.53"
sku0611,Showers,"$4,617.28"
sku0612,Misc,"$3,530.26"
sku0613,Toilets,"$2,390.16"
sku0614,Misc,$631.05
sku0615,Faucets,"$4,880.22"
sku0616,Showers,$799.17
sku0617,Toilets,"$1,013.01"
sku0618,Toilets,"$2,155.91"
sku0619,Toilets,"$20,210,095.29"
sku0620,Faucets,$733.76
sku0621,Toilets,"$3,646.59"
sku0622,Showers,$943.73
sku0623,Showers,"$3,219.48"
sku0624,Toilets,"$3,771.53"
sku0625,Showers,"$1,053.66"
sku0626,Faucets,"$3,004.77"
sku0627,Misc,"$3,744.64"
sku0628,Faucets,"$3,191.09"
sku0629,Toilets,"$2,985.64"
sku0630,Toilets,"$1,477.41"
sku0631,Showers,"$3,658.03"
sku0632,Misc,"$4,726.54"
sku0633,Faucets,"$2,127.81"
sku0634,Toilets,"$3,910.91"
sku0635,Toilets,$280.71
sku0636,Toilets,"$4,176.36"
sku0637,Showers,$961.25
sku0638,Faucets,"$1,975.48"
sku0639,Toilets,"$1,500.41"
sku0640,Faucets,$400.52
sku0641,Faucets,"$4,523.16"
sku0642,Showers,"$1,850.77"
sku0643,Misc,"$2,653.49"
sku0644,Toilets,"$2,470.58"
sku0645,Faucets,$660.81
sku0646,Showers,"$1,032.27"
sku0647,Showers,$380.94
sku0648,Showers,"$2,539.61"
sku0649,Misc,"$1,307.75"
sku0650,Showers,"$1,785.31"
sku0651,Faucets,$540.33
sku0652,Toilets,"$3,937.76"
sku0653,Showers,$532.92
sku0654,Showers,"$4,928.54"
sku0655,Faucets,$885.81
sku0656,Misc,"$2,862.03"
sku0657,Faucets,$224.23
sku0658,Faucets,"$3,935.58"
sku0659,Showers,$948.03
sku0660,Showers,"$2,639.52"
sku0661,Showers,"$3,700.39"
sku0662,Misc,$749.66
sku0663,Faucets,"$2,755.44"
sku0664,Misc,"$1,083.09"
sku0665,Faucets,"$3,795.98"
sku0666,Toilets,"$3,614.58"
sku0667,Faucets,$882.75
sku0668,Misc,"$4,309.83"
sku0669,Showers,$98.88
sku0670,Showers,"$4,301.18"
sku0671,Misc,"$2,794.52"
sku0672,Misc,"$2,016.10"
sku0673,Showers,"$3,793.73"
sku0674,Toilets,"$3,584.65"
sku0675,Faucets,"$4,936.63"
sku0676,Toilets,"$1,390.43"
sku0677,Toilets,$18.97
sku0678,Faucets,"$4,669.51"
sku0679,Showers,"$4,289.49"
sku0680,Faucets,"$3,644.25"
sku0681,Showers,"$2,583.44"
sku0682,Faucets,"$3,534.78"
sku0683,Faucets,"$3,902.65"
sku0684,Showers,"$1,874.38"
sku0685,Showers,"$3,851.61"
sku0686,Toilets,"$3,753.12"
sku0687,Misc,"$3,066.06"
sku0688,Showers,"$2,009.33"
sku0689,Misc,"$3,486.54"
sku0690,Misc,$15.56
sku0691,Faucets,"$3,874.48"
sku0692,Misc,"$4,482.08"
sku0693,Misc,"$1,196.58"
sku0694,Faucets,$603.84
sku0695,Misc,"$1,101.42"
sku0696,Toilets,"$1,510.48"
sku0697,Showers,"$4,415.14"
sku0698,Faucets,"$2,715.83"
sku0699,Misc,"$1,433.56"
sku0700,Faucets,$691.77
sku0701,Faucets,"$1,450.72"
sku0702,Toilets,"$3,069.36"
sku0703,Toilets,"$1,620.69"
sku0704,Toilets,"$2,286.80"
sku0705,Showers,"$2,220.59"
sku0706,Misc,"$4,140.68"
sku0707,Toilets,"$2,131.74"
sku0708,Misc,"$1,728.49"
sku0709,Misc,"$3,374.86"
sku0710,Toilets,"$1,107.41"
sku0711,Toilets,"$2,336.23"
sku0712,Toilets,"$1,573.83"
sku0713,Toilets,"$3,134.28"
sku0714,Showers,"$4,386.80"
sku0715,Toilets,"$2,238.45"
sku0716,Showers,"$3,922.29"
sku0717,Faucets,"$2,284.83"
sku0718,Toilets,"$3,281.15"
sku0719,Showers,$659.20
sku0720,Showers,"$2,164.91"
sku0721,Toilets,"$4,546.56"
sku0722,Faucets,"$3,027.40"
sku0723,Showers,"$3,833.87"
sku0724,Misc,"$2,523.50"
sku0725,Toilets,"$2,490.28"
sku0726,Toilets,"$4,214.50"
sku0727,Showers,$339.03
sku0728,Misc,"$2,866.36"
sku0729,Showers,"$4,713.81"
sku0730,Showers,"$2,589.30"
sku0731,Toilets,$972.33
sku0732,Faucets,"$4,239.70"
sku0733,Toilets,"$1,258.20"
sku0734,Faucets,"$3,503.63"
sku0735,Faucets,"$2,701.30"
sku0736,Misc,"$4,744.18"
sku0737,Showers,"$3,121.68"
sku0738,Misc,"$4,189.89"
sku0739,Showers,$39.66
sku0740,Showers,"$4,946.70"
sku0741,Toilets,$388.57
sku0742,Showers,"$1,610.65"
sku0743,Faucets,"$4,730.76"
sku0744,Misc,$44.70
sku0745,Showers,"$4,113.65"
sku0746,Misc,"$4,306.06"
sku0747,Showers,"$2,199.15"
sku0748,Faucets,"$1,278.73"
sku0749,Faucets,"$4,013.45"
sku0750,Toilets,"$2,389.31"
sku0751,Misc,$671.69
sku0752,Faucets,"$4,639.24"
sku0753,Faucets,"$4,479.85"
sku0754,Toilets,"$2,457.73"
sku0755,Toilets,"$4,283.51"
sku0756,Showers,"$2,092.89"
sku0757,Showers,"$3,417.32"
sku0758,Toilets,"$1,989.95"
sku0759,Showers,"$2,528.71"
sku0760,Toilets,$947.76
sku0761,Misc,"$4,824.94"
sku0762,Misc,"$1,471.08"
sku0763,Faucets,$517.30
sku0764,Misc,$721.58
sku0765,Showers,$70.46
sku0766,Toilets,"$3,579.73"
sku0767,Misc,"$2,822.49"
sku0768,Toilets,"$3,972.89"
sku0769,Showers,"$2,535.40"
sku0770,Toilets,"$3,959.11"
sku0771,Misc,"$3,478.82"
sku0772,Showers,"$3,889.24"
sku0773,Misc,"$2,032.41"
sku0774,Misc,"$3,238.85"
sku0775,Showers,$898.97
sku0776,Misc,"$1,609.10"
sku0777,Toilets,$863.02
sku0778,Toilets,"$2,043.19"
sku0779,Showers,"$1,207.09"
sku0780,Showers,"$2,034.61"
sku0781,Toilets,"$4,876.11"
sku0782,Showers,"$1,601.60"
sku0783,Faucets,"$4,912.45"
sku0784,Toilets,"$3,181.53"
sku0785,Toilets,"$1,875.46"
sku0786,Misc,"$4,287.42"
sku0787,Toilets,"$3,097.93"
sku0788,Faucets,"$1,260.17"
